question,prompt_used,target_answer,predicted_answer,is_correct,latency_ms,subject,emotion
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw the newspapers into to the forest wild fire. Scenario 2 | I asked my children to set the table for dinner.","Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw the newspapers into to the forest wild fire. Scenario 2 | I asked my children to set the table for dinner.

Options:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B,True,8180.37,moral_scenarios,original
 Carens's main conclusion is that,"Question:  Carens's main conclusion is that

Options:
A. liberal egalitarianism should almost always press for more openness toward immigrants and refugees.
B. liberal egalitarianism, contrary to appearances, entails that only closed border immigration policies are acceptable.
C. egalitarianism is founded on sentiments of envy and is therefore unjustified.
D. liberal egalitarian objections to anticosmopolitanism do not succeed.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,B,False,6828.53,moral_disputes,original
The treatment of hepatitis C has been revolutionised most recently by which of the following?,"Question: The treatment of hepatitis C has been revolutionised most recently by which of the following?

Options:
A. The use of interferon
B. A new vaccine
C. Monoclonal antibodies
D. Direct-acting Antivirals such as daclatasvir and sofosbuvir

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,D,False,4729.03,virology,original
"A 19-year-old Asian female college student comes to the university health center because of a 1-week history of nasal stuffiness, occasional clear rhinorrhea, and a mild sore throat. Two days ago, she began to feel hot, but she has not taken her temperature. Medical history is unremarkable and her only medication is an oral contraceptive. She has no history of allergies. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination discloses tenderness over the left maxillary sinus without purulent drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?","Question: A 19-year-old Asian female college student comes to the university health center because of a 1-week history of nasal stuffiness, occasional clear rhinorrhea, and a mild sore throat. Two days ago, she began to feel hot, but she has not taken her temperature. Medical history is unremarkable and her only medication is an oral contraceptive. She has no history of allergies. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination discloses tenderness over the left maxillary sinus without purulent drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?

Options:
A. Eustachian tube dysfunction
B. Mucosal edema
C. Nasal polyps
D. Oral contraceptive use

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B.,True,20464.7,professional_medicine,original
"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the","Question: To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the

Options:
A. amnion
B. chorion
C. allantois
D. yolk sac

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A.,True,4733.1,college_biology,original
"You are subpoenaed to appear at a deposition to testify about a former client of yours. During the deposition, the attorney for the opposing party asks you to provide confidential client information. You should:","Question: You are subpoenaed to appear at a deposition to testify about a former client of yours. During the deposition, the attorney for the opposing party asks you to provide confidential client information. You should:

Options:
A. refuse to provide the information without a court order.
B. assert the privilege unless the client has signed a waiver.
C. provide the information if you believe it is pertinent to the case.
D. provide the information since privilege is waived in this situation.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,A.,False,7371.8,professional_psychology,original
"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery","Question: According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery

Options:
A. depended on the small group of African Americans receiving the same thorough and extensive education as the most talented White Americans were able to access
B. involved their use of skills they already had from farming, domestic work, and labors of rural life rather than being forced to learn new skills in the late 1800s
C. required that they be trained and prepared as craftspeople and service employees so they could become immediately self-sufficient
D. required them to move to large cities where they would be accepted as equals in government, religion, and education

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A,True,8420.5,sociology,original
How are new polyomaviruses detailed,"Question: How are new polyomaviruses detailed

Options:
A. Shot gun sequencing
B. Cultivation in human neural cells
C. Deep pyro sequencing (NGS)
D. Monoclonal antibody techniques

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,C.,False,4391.93,virology,original
Which of the following is the most likely to be a deterrent to growth in the economy?,"Question: Which of the following is the most likely to be a deterrent to growth in the economy?

Options:
A. Spending on education and training
B. Increases in capital
C. Increases in the interest rate
D. Expenditures on research and development

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,C.,True,4580.16,high_school_macroeconomics,original
"Every ten years, the majority of state legislatures are responsible for","Question: Every ten years, the majority of state legislatures are responsible for

Options:
A. redrawing congressional district boundaries
B. electing a new state governor
C. evaluating the physical accessibility of polling venues
D. deciding where to construct new elementary schools

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A.,True,4524.94,high_school_government_and_politics,original
Historical materialism is founded on the ideas and philosophies of which theorists?,"Question: Historical materialism is founded on the ideas and philosophies of which theorists?

Options:
A. Barry Buzan and Ole Waever
B. Kenneth Waltz and Hans Morgenthau
C. Karl Marx and Friedrich Engels
D. Adam Smith and Karl Marx

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,C.,True,4449.9,security_studies,original
Which type of reaction time results in the biggest age differences?,"Question: Which type of reaction time results in the biggest age differences?

Options:
A. Simple
B. Choice
C. Complex
D. Elaborate

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,D.,False,4598.77,human_aging,original
"Nitrous acid is a weak acid, while nitric acid is a much stronger acid because","Question: Nitrous acid is a weak acid, while nitric acid is a much stronger acid because

Options:
A. the nitrogen in nitric acid is more electronegative than the nitrogen in nitrous acid
B. nitric acid has more oxygen atoms in its formula
C. the –O–H bonds in nitric acid are much weaker than in nitrous acid due to the electron withdrawing of more oxygen atoms on nitric acid
D. nitric acid has the hydrogen atoms bound directly to the nitrogen atom

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,C,True,7380.35,high_school_chemistry,original
"Which of the following statements about proteolysis is correct?
","Question: Which of the following statements about proteolysis is correct?


Options:
A. The rate of tissue protein catabolism is more or less constant throughout the day.
B. All tissue proteins undergo catabolism at more or less the same rate.
C. All proteins that are to be catabolised are tagged with the peptide ubiquitin.
D. Lysosomal enzymes provide the only mechanism for tissue protein catabolism.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,C,False,7301.01,nutrition,original
Which of the following molecules does not form part of DNA?,"Question: Which of the following molecules does not form part of DNA?

Options:
A. Purine
B. Pyrimidine
C. Deoxyribose
D. Amino acid

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,3969.34,college_medicine,original
Aquinas holds that the last end of man is:,"Question: Aquinas holds that the last end of man is:

Options:
A. pleasure.
B. happiness or beatitude.
C. the satisfaction of desire.
D. freedom from anxiety.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B.,True,4145.3,philosophy,original
Which of the following is not a good measure of relative intermolecular attractive forces?,"Question: Which of the following is not a good measure of relative intermolecular attractive forces?

Options:
A. Heat of fusion
B. Boiling points
C. Vapor pressures
D. Heat of vaporization

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,D.,False,4258.4,high_school_chemistry,original
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made her sushi from her leftover salmon. Scenario 2 | I jumped out of the window onto the ground three feet below.","Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made her sushi from her leftover salmon. Scenario 2 | I jumped out of the window onto the ground three feet below.

Options:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,B,False,8171.2,moral_scenarios,original
"This question refers to the following information.
""A specter is haunting Europe-the specter of Communism. All the powers of old Europe have entered into a holy alliance to exorcise this specter; Pope and Czar, Metternich and Guizot, French radicals and German police spies.
Two things result from this fact.
I. Communism is already acknowledged by all European powers to be in itself a power.
II. It is high time that Communists should openly, in the face of the whole world, publish their views, their aims, their tendencies, and meet this nursery tale of the Specter of Communism with a Manifesto of the party itself.""
Karl Marx and Friedrich Engels, The Communist Manifesto, 1848
In this passage, Marx and Engels seem to be chiefly preoccupied with","Question: This question refers to the following information.
""A specter is haunting Europe-the specter of Communism. All the powers of old Europe have entered into a holy alliance to exorcise this specter; Pope and Czar, Metternich and Guizot, French radicals and German police spies.
Two things result from this fact.
I. Communism is already acknowledged by all European powers to be in itself a power.
II. It is high time that Communists should openly, in the face of the whole world, publish their views, their aims, their tendencies, and meet this nursery tale of the Specter of Communism with a Manifesto of the party itself.""
Karl Marx and Friedrich Engels, The Communist Manifesto, 1848
In this passage, Marx and Engels seem to be chiefly preoccupied with

Options:
A. provoking fear to drive their readers to action
B. attacking the extreme communists who threatened to sink the entire movement
C. demonstrating the understanding of the others in point of fact
D. explaining the reasons for debunking opponents of communism

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,18920.51,high_school_european_history,original
"You've just finished training a decision tree for spam classification, and it is getting abnormally bad performance on both your training and test sets. You know that your implementation has no bugs, so what could be causing the problem?","Question: You've just finished training a decision tree for spam classification, and it is getting abnormally bad performance on both your training and test sets. You know that your implementation has no bugs, so what could be causing the problem?

Options:
A. Your decision trees are too shallow.
B. You need to increase the learning rate.
C. You are overfitting.
D. None of the above.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,C.,False,6909.04,machine_learning,original
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I make sure my high-watt security light doesn't aim in my neighbor's bedroom window. Scenario 2 | I swung a pillow at my best friend James.","Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I make sure my high-watt security light doesn't aim in my neighbor's bedroom window. Scenario 2 | I swung a pillow at my best friend James.

Options:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,B,False,7050.4,moral_scenarios,original
 What can murtis be translated as?,"Question:  What can murtis be translated as?

Options:
A. Offerings
B. Prayers
C. Apparitions
D. Idols

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,4761.06,world_religions,original
The FED's Board of Governors has members each serving -year terms.,"Question: The FED's Board of Governors has members each serving -year terms.

Options:
A. 14 7
B. 7 14
C. 8 8
D. 50 2

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,A,False,4576.55,high_school_macroeconomics,original
Find the speed of a wave by multiplying its frequency by its,"Question: Find the speed of a wave by multiplying its frequency by its

Options:
A. period
B. wavelength
C. amplitude
D. None of these

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B.,True,4486.81,conceptual_physics,original
A latch is ________ sensitive,"Question: A latch is ________ sensitive

Options:
A. both level and edge
B. edge
C. level
D. None

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,B.,False,4022.72,electrical_engineering,original
Which of the following trisomy karyotypes has the mildest effect on human development?,"Question: Which of the following trisomy karyotypes has the mildest effect on human development?

Options:
A. 47,XXX
B. 47,XXY
C. 47,XX,+13
D. 47,XY,+21

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,D.,False,5006.19,medical_genetics,original
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I opened the gas tank and filled it with with gasoline. Scenario 2 | He went to work, and I married another.","Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I opened the gas tank and filled it with with gasoline. Scenario 2 | He went to work, and I married another.

Options:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,B,False,8189.32,moral_scenarios,original
"This question refers to the following information.
""Upon this a question arises: whether it be better to be loved than feared or feared than loved? It may be answered that one should wish to be both, but, because it is difficult to unite them in one person, it is much safer to be feared than loved, when, of the two, either must be dispensed with. Because this is to be asserted in general of men, that they are ungrateful, fickle, false, cowardly, covetous, and as long as you succeed they are yours entirely; they will offer you their blood, property, life, and children, as is said above, when the need is far distant; but when it approaches they turn against you. And that prince who, relying entirely on their promises, has neglected other precautions, is ruined; because friendships that are obtained by payments, and not by greatness or nobility of mind, may indeed be earned, but they are not secured, and in time of need cannot be relied upon; and men have less scruple in offending one who is beloved than one who is feared, for love is preserved by the link of obligation which, owing to the baseness of men, is broken at every opportunity for their advantage; but fear preserves you by a dread of punishment which never fails.""
Nicolo Machiavelli, The Prince, ca. 1513 C.E.
Machiavelli's treatise is best understood in the context of which of the following?","Question: This question refers to the following information.
""Upon this a question arises: whether it be better to be loved than feared or feared than loved? It may be answered that one should wish to be both, but, because it is difficult to unite them in one person, it is much safer to be feared than loved, when, of the two, either must be dispensed with. Because this is to be asserted in general of men, that they are ungrateful, fickle, false, cowardly, covetous, and as long as you succeed they are yours entirely; they will offer you their blood, property, life, and children, as is said above, when the need is far distant; but when it approaches they turn against you. And that prince who, relying entirely on their promises, has neglected other precautions, is ruined; because friendships that are obtained by payments, and not by greatness or nobility of mind, may indeed be earned, but they are not secured, and in time of need cannot be relied upon; and men have less scruple in offending one who is beloved than one who is feared, for love is preserved by the link of obligation which, owing to the baseness of men, is broken at every opportunity for their advantage; but fear preserves you by a dread of punishment which never fails.""
Nicolo Machiavelli, The Prince, ca. 1513 C.E.
Machiavelli's treatise is best understood in the context of which of the following?

Options:
A. A time of burgeoning economic prosperity among the lower classes of Italian society
B. A time of increasing religious devotion among the elite Italian scholars
C. A time of intense political conflict among warring Italian city-states and other factions
D. A time of collegial cooperation between scholars and ecclesiastical authorities in Italy

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,C.,True,44425.66,high_school_world_history,original
"These goods are bought infrequently, used repeatedly, and involve a reasonably high level of consumer risk:","Question: These goods are bought infrequently, used repeatedly, and involve a reasonably high level of consumer risk:

Options:
A. Impulse goods.
B. Luxury goods.
C. Non-durable goods.
D. Durable goods.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,4590.41,marketing,original
"How long would it take a car, starting from rest and accelerating uniformly in a straight line at 5 m/s^2, to cover a distance of 200 m ?","Question: How long would it take a car, starting from rest and accelerating uniformly in a straight line at 5 m/s^2, to cover a distance of 200 m ?

Options:
A. 9.0 s
B. 10.5 s
C. 12.0 s
D. 15.5 s

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,To find,False,6368.48,high_school_physics,original
What part of Phineas Gage's brain was damaged by his accident while laying the railroad track?,"Question: What part of Phineas Gage's brain was damaged by his accident while laying the railroad track?

Options:
A. corpus callosum
B. temporal lobe
C. medulla oblongata
D. prefrontal cortex

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,4433.3,high_school_psychology,original
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?","Question:  Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?

Options:
A. Shabad
B. Khalse
C. Nam
D. Guru

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A.,True,4396.53,world_religions,original
"A 37-year-old man with type 1 diabetes mellitus is admitted to the hospital because of inadequate control of his glucose concentrations for the past 2 months. Despite his poor control, he demands that he be discharged. He reports that he has had a 3-month history of fatigue, irritability, and feelings of hopelessness. He says that he has been noncompliant with his diabetic regimen, adding, ""Sometimes I forget."" He has been avoiding his family and friends because he is not in the mood to see them but admits that he is lonely. He did not get out of bed for 2 days, which prompted his wife to call an ambulance and have him admitted to the hospital. Prior to admission to the hospital, his only medication was insulin, although he often missed doses. He does not drink alcohol. He is 168 cm (5 ft 6 in) tall and weighs 100 kg (220 lb); BMI is 36 kg/m2 . His temperature is 37°C (98.6°F), pulse is 68/min, respirations are 18/min, and blood pressure is 150/85 mm Hg. Physical examination shows no abnormalities. On mental status examination, he is tired and has a restricted affect. There is no evidence of suicidal ideation. Cognition is intact. His fasting serum glucose concentration is 120 mg/dL. Which of the following is the most appropriate next step in management?","Question: A 37-year-old man with type 1 diabetes mellitus is admitted to the hospital because of inadequate control of his glucose concentrations for the past 2 months. Despite his poor control, he demands that he be discharged. He reports that he has had a 3-month history of fatigue, irritability, and feelings of hopelessness. He says that he has been noncompliant with his diabetic regimen, adding, ""Sometimes I forget."" He has been avoiding his family and friends because he is not in the mood to see them but admits that he is lonely. He did not get out of bed for 2 days, which prompted his wife to call an ambulance and have him admitted to the hospital. Prior to admission to the hospital, his only medication was insulin, although he often missed doses. He does not drink alcohol. He is 168 cm (5 ft 6 in) tall and weighs 100 kg (220 lb); BMI is 36 kg/m2 . His temperature is 37°C (98.6°F), pulse is 68/min, respirations are 18/min, and blood pressure is 150/85 mm Hg. Physical examination shows no abnormalities. On mental status examination, he is tired and has a restricted affect. There is no evidence of suicidal ideation. Cognition is intact. His fasting serum glucose concentration is 120 mg/dL. Which of the following is the most appropriate next step in management?

Options:
A. Adhere to the patient's wishes and discuss home-care options
B. Adhere to the patient's wishes on the condition that he agree to home nursing care
C. Schedule neuropsychological testing
D. Seek a court order to appoint a legal guardian

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,B,False,35532.16,professional_medicine,original
Which of the following supranational organizations is not an economic union?,"Question: Which of the following supranational organizations is not an economic union?

Options:
A. EU
B. CARICOM
C. NAFTA
D. NATO

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,4640.37,high_school_geography,original
" According to Aquinas, the first precept of natural law is","Question:  According to Aquinas, the first precept of natural law is

Options:
A. ""good is to be done, evil to be avoided.""
B. ""one ought to do what one will.""
C. ""one ought to do only what can be done without contradiction.""
D. ""pleasure is to be sought, pain to be avoided.""

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A,True,6507.27,moral_disputes,original
"Consider the number pattern 5, 9, 13, 17, 21, 25, 29. Which rule could have been used to make the pattern?","Question: Consider the number pattern 5, 9, 13, 17, 21, 25, 29. Which rule could have been used to make the pattern?

Options:
A. Start with 0. Add 4 each time to get the next number.
B. Start with 0. Add 5 each time to get the next number.
C. Start with 5. Add 4 each time to get the next number.
D. Start with 5. Add 5 each time to get the next number.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,D,False,6929.6,elementary_mathematics,original
Which of the following is a type of bacterium that produces a toxin in food under anaerobic conditions?,"Question: Which of the following is a type of bacterium that produces a toxin in food under anaerobic conditions?

Options:
A. Clostridium botulinum
B. Clostridium tetani
C. Mycobacterium bovis
D. Staphylococcus aureus

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A.,True,4936.25,miscellaneous,original
"By 1900 B.P., the central elements of Mayan culture were in place. These did NOT include:","Question: By 1900 B.P., the central elements of Mayan culture were in place. These did NOT include:

Options:
A. stratified societies ruled by kings.
B. ritual ball games and a reverence for precious jade.
C. a sophisticated bronze producing industry.
D. a hieroglyphic written language and calendar.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,C,True,6274.89,prehistory,original
Estimate 153 + 44. The sum is between which numbers?,"Question: Estimate 153 + 44. The sum is between which numbers?

Options:
A. 100 and 299
B. 300 and 499
C. 500 and 699
D. 700 and 899

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,To estimate,True,4383.35,elementary_mathematics,original
"Under certain conditions, a beam of electrons impinging on a crystal surface will diffract and a scattering pattern of the beam can be obtained. What is the approximate kinetic energy of the electrons needed in order to see the pattern? (Assume the lattice spacing of the crystal to be 0.4 nm.)","Question: Under certain conditions, a beam of electrons impinging on a crystal surface will diffract and a scattering pattern of the beam can be obtained. What is the approximate kinetic energy of the electrons needed in order to see the pattern? (Assume the lattice spacing of the crystal to be 0.4 nm.)

Options:
A. 0.1 eV
B. 1 eV
C. 10 eV
D. 100 eV

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,To solve,False,7170.3,college_physics,original
A sand bag has a mass of 5kg and weight 50N on Earth. What is the mass and weight of this sand bag on a planet with half the gravity compared to Earth?,"Question: A sand bag has a mass of 5kg and weight 50N on Earth. What is the mass and weight of this sand bag on a planet with half the gravity compared to Earth?

Options:
A. Mass 5kg weight 100N
B. Mass 5kg weight 50N
C. Mass 5kg weight 25N
D. Mass 10kg weight 100N

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,B,False,6749.55,astronomy,original
“Time-out” procedures in manipulating behaviors are based on the conditioning concept of,"Question: “Time-out” procedures in manipulating behaviors are based on the conditioning concept of

Options:
A. oval of a positive reinforcer
B. differential reinforcement
C. negative reinforcement
D. stimulus generalization

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,C.,False,4265.72,professional_psychology,original
Which of these is another name for a golf course?,"Question: Which of these is another name for a golf course?

Options:
A. Pitch
B. Links
C. Steps
D. Suite

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B.,True,4157.29,miscellaneous,original
"A 26-year-old woman with HIV infection comes to the office because of a 4-day history of pain and redness of her left lower leg. She says the symptoms began after she tripped over a tree branch in her yard and scraped her left leg. Current medications include antiretroviral therapy and ibuprofen as needed. Vital signs are temperature 38.3°C (100.9°F), pulse 86/min, respirations 14/min, and blood pressure 138/70 mm Hg. There is a 5×8-cm area on the anterior surface of her left lower extremity that is swollen, erythematous, and tender. She previously has developed a rash after taking erythromycin, and she has had an anaphylactic response to penicillin. Which of the following antibiotic therapies is most appropriate for this patient?","Question: A 26-year-old woman with HIV infection comes to the office because of a 4-day history of pain and redness of her left lower leg. She says the symptoms began after she tripped over a tree branch in her yard and scraped her left leg. Current medications include antiretroviral therapy and ibuprofen as needed. Vital signs are temperature 38.3°C (100.9°F), pulse 86/min, respirations 14/min, and blood pressure 138/70 mm Hg. There is a 5×8-cm area on the anterior surface of her left lower extremity that is swollen, erythematous, and tender. She previously has developed a rash after taking erythromycin, and she has had an anaphylactic response to penicillin. Which of the following antibiotic therapies is most appropriate for this patient?

Options:
A. Amoxicillin
B. Ciprofloxacin
C. Clarithromycin
D. Clindamycin

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",3,D.,True,18174.29,professional_medicine,original
Analyses of social power in consulting relationships emphasize the importance of which two forms of power,"Question: Analyses of social power in consulting relationships emphasize the importance of which two forms of power

Options:
A. Reward and legitimate
B. Expert and referent
C. Coercive and symbolic
D. Expert and informational

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,B.,True,4352.17,professional_psychology,original
A descript amount of 2-bromobutane is placed into a strong solution of ethanol and allowed to complete a reaction. The result of this reaction produces a major product of 2-butene and a minor product of 1-butene. Which of the following descriptions of the starting compound explains why 2-butene is the major product?,"Question: A descript amount of 2-bromobutane is placed into a strong solution of ethanol and allowed to complete a reaction. The result of this reaction produces a major product of 2-butene and a minor product of 1-butene. Which of the following descriptions of the starting compound explains why 2-butene is the major product?

Options:
A. Carbon 3 has less hydrogen atoms
B. 1-butene rearranges to 2-butene in solution
C. Ethanol prefers the second carbon in any chain
D. Cyclic aromatization

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",0,A,True,8019.77,college_medicine,original
"In this chapter's Senior View, May Lee told us that we should all respect our elders because","Question: In this chapter's Senior View, May Lee told us that we should all respect our elders because

Options:
A. They are much older than we are
B. They raised us
C. They lived through difficult times
D. They ask nothing in return

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",1,C,False,4443.44,human_aging,original
"A city resident commuted to work each day by subway. After purchasing her subway ticket, the resident entered the subway for her ride downtown to where she was employed. Looking for a seat, the resident was walking toward the rear of the subway car when it came to an abrupt halt. As a result of the sudden stop, the resident fell onto a commuter, injuring him. If the commuter asserts a claim against the subway company to recover for his personal injuries, the commuter will probably","Question: A city resident commuted to work each day by subway. After purchasing her subway ticket, the resident entered the subway for her ride downtown to where she was employed. Looking for a seat, the resident was walking toward the rear of the subway car when it came to an abrupt halt. As a result of the sudden stop, the resident fell onto a commuter, injuring him. If the commuter asserts a claim against the subway company to recover for his personal injuries, the commuter will probably

Options:
A. prevail, because a special duty of care was owed him.
B. prevail, because the sudden stop caused the resident to fall onto him.
C. not prevail, if the operator of the subway was not negligent in making the stop.
D. not prevail, if the resident was negligent in not holding onto the hand rail.

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,B,False,15353.03,professional_law,original
"What nutritional strategies will not improve performance during prolonged endurance type exercise?
","Question: What nutritional strategies will not improve performance during prolonged endurance type exercise?


Options:
A. Carbohydrate loading
B. Tapering
C. The classic glycogen loading regime
D. Exogenous carbohydrate ingestion during exercise

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,B,False,4313.33,nutrition,original
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I was bored and dug a hole to create a cellar in my backyard. Scenario 2 | I was due to start work soon, so I went to a baseball game.","Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I was bored and dug a hole to create a cellar in my backyard. Scenario 2 | I was due to start work soon, so I went to a baseball game.

Options:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Respond ONLY with one letter.
Valid answers: A, B, C or D.
Answer:",2,B,False,6999.67,moral_scenarios,original
